Province,2017,2018,2019
Ba Ria - Vung Tau,0,0,1
Bac Giang,3,12,38
Bac Kan,1,2,1
Bac Ninh,2,27,77
Can Tho,0,0,1
Cao Bang,0,1,1
Dak Lak,1,0,1
Dong Nai,0,0,2
Ha Giang,1,3,11
Ha Nam,3,28,70
Ha Noi,43,209,462
Ha Tinh,3,16,34
Hai Duong,15,19,52
Hai Phong,3,15,59
Ho Chi Minh,0,1,3
Hoa Binh,1,3,20
Hung Yen,7,35,73
Lai Chau,0,2,6
Lang Son,1,4,5
Lao Cai,0,6,5
Nam Dinh,6,25,67
Nghe An,8,99,65
Ninh Binh,5,3,14
Phu Tho,5,22,32
Phu Yen,0,0,1
Quang Binh,0,0,3
Quang Nam,0,0,1
Quang Ninh,1,4,15
Son La,1,8,16
Thai Binh,2,9,31
Thai Nguyen,3,9,15
Thanh Hoa,5,30,54
Tuyen Quang,0,2,15
Vinh Phuc,12,16,47
Yen Bai,0,11,21
